iter	Logloss
0	0.683352503
1	0.6742532799
2	0.6656379948
3	0.6575258817
4	0.6501662992
5	0.6431179567
6	0.6364260038
7	0.630483125
8	0.6248028136
9	0.6194761491
10	0.6147500862
11	0.6099923364
12	0.6055852195
13	0.6014642091
14	0.5976852174
15	0.5940319556
16	0.5907786294
17	0.5875580404
18	0.5845627167
19	0.5818060458
20	0.5791315273
21	0.5768508841
22	0.5745421507
23	0.5723498247
24	0.5703361235
25	0.5686147748
26	0.5668785452
27	0.5651473177
28	0.5636833722
29	0.5621827262
30	0.5607688133
31	0.5595429138
32	0.5582975013
33	0.5571552586
34	0.5561711664
35	0.5552198028
36	0.5542466345
37	0.5534066399
38	0.5524666295
39	0.5516557771
40	0.5508727675
41	0.5501616117
42	0.5495229812
43	0.5488819719
44	0.5482485783
45	0.5476941529
46	0.5471226601
47	0.5465912732
48	0.5461494027
49	0.5456489991
50	0.5452068273
51	0.5447672964
52	0.5443760144
53	0.5440448473
54	0.5436683284
55	0.5433873676
56	0.5430878381
57	0.5427947145
58	0.5425141926
59	0.5422195531
60	0.5419509837
61	0.5416881138
62	0.5414301284
63	0.5411848581
64	0.5409422877
65	0.5407225305
66	0.5405085516
67	0.5403252323
68	0.5401107315
69	0.539936095
70	0.5397571523
71	0.5396267374
72	0.5394683905
73	0.5393096494
74	0.5391608284
75	0.5390228609
76	0.5388877911
77	0.5387621909
78	0.5386752994
79	0.5385753404
80	0.5384715283
81	0.5383628179
82	0.5382587251
83	0.5381805205
84	0.5380812328
85	0.5379768632
86	0.5379045369
87	0.5378099133
88	0.5377265095
89	0.5376176639
90	0.5375492867
91	0.537457437
92	0.537370601
93	0.5373070295
94	0.5372161878
95	0.5371520277
96	0.5370809035
97	0.5370153693
98	0.5369564718
99	0.5368963361
100	0.5368465817
101	0.5368021429
102	0.5367495148
103	0.536694831
104	0.5366294909
105	0.5365969146
106	0.5365473671
107	0.5364952685
108	0.5364573454
109	0.5363991211
110	0.5363462614
111	0.5362912626
112	0.5362491649
113	0.5362119934
114	0.5361643158
115	0.5361158912
116	0.5360763751
117	0.5360464084
118	0.5360126451
119	0.5359758597
120	0.5359452668
121	0.5359089746
122	0.5358702499
123	0.5358313486
124	0.5357996886
125	0.5357683818
126	0.5357364879
127	0.5357115865
128	0.53568309
129	0.5356441474
130	0.5356214673
131	0.5355833993
132	0.5355542298
133	0.5355322374
134	0.5354929904
135	0.535464827
136	0.5354402171
137	0.5354218313
138	0.5353920881
139	0.5353738117
140	0.5353434483
141	0.5353165256
142	0.5352952942
143	0.5352678525
144	0.5352371177
145	0.5352037896
146	0.5351848953
147	0.5351628929
148	0.5351403983
149	0.5351190177
150	0.5350993056
151	0.535083761
152	0.5350616353
153	0.5350437012
154	0.535015437
155	0.534993366
156	0.5349769049
157	0.5349607269
158	0.5349369557
159	0.5349140898
160	0.5348859885
161	0.5348652702
162	0.5348514699
163	0.5348310285
164	0.5348039242
165	0.534773374
166	0.5347587571
167	0.5347390949
168	0.534718563
169	0.534696407
170	0.5346747871
171	0.5346554236
172	0.5346387291
173	0.5346221821
174	0.5346024392
175	0.5345857106
176	0.5345768605
177	0.5345495599
178	0.5345277925
179	0.5345082611
180	0.5344886609
181	0.5344678282
182	0.5344501435
183	0.5344365964
184	0.5344207158
185	0.5344054229
186	0.5343947301
187	0.5343809136
188	0.5343647429
189	0.5343479223
190	0.5343387511
191	0.5343220177
192	0.5343019138
193	0.5342924321
194	0.5342774813
195	0.5342648419
196	0.534252217
197	0.5342405495
198	0.5342307365
199	0.5342135931
200	0.5341972782
201	0.5341818548
202	0.534161942
203	0.5341501069
204	0.5341332853
205	0.5341184251
206	0.5341061956
207	0.5340944305
208	0.534068216
209	0.5340507096
210	0.5340370997
211	0.5340243758
212	0.534010311
213	0.534002045
214	0.5339879713
215	0.5339787532
216	0.533958877
217	0.5339438576
218	0.5339290084
219	0.5339139589
220	0.5338977883
221	0.5338879891
222	0.5338788213
223	0.5338620119
224	0.5338456823
225	0.5338456868
226	0.5338244053
227	0.5338121662
228	0.5337996195
229	0.533790516
230	0.5337808303
231	0.533765209
232	0.5337534939
233	0.533733582
234	0.5337177593
235	0.5337064296
236	0.5336930976
237	0.5336757304
238	0.5336618179
239	0.5336492827
240	0.5336339364
241	0.5336208538
242	0.5336092803
243	0.5335991017
244	0.5335872318
245	0.5335778565
246	0.5335672897
247	0.5335531681
248	0.5335390567
249	0.5335272658
250	0.5335154473
251	0.5335044915
252	0.533498808
253	0.5334776374
254	0.5334633923
255	0.5334500379
256	0.5334409441
257	0.5334326866
258	0.5334210518
259	0.5334114092
260	0.5334049029
261	0.5333943214
262	0.5333839847
263	0.5333724465
264	0.5333572937
265	0.5333445167
266	0.5333308102
267	0.533314712
268	0.5333069865
269	0.5333000161
270	0.5332878604
271	0.5332798883
272	0.5332669311
273	0.5332553898
274	0.5332491403
275	0.5332385405
276	0.5332313168
277	0.5332204388
278	0.533208678
279	0.5331935616
280	0.5331861398
281	0.5331733176
282	0.5331661444
283	0.5331555971
284	0.5331400606
285	0.5331325586
286	0.5331128656
287	0.5330957825
288	0.5330825862
289	0.5330735853
290	0.5330660381
291	0.5330500286
292	0.5330403289
293	0.5330312701
294	0.5330243205
295	0.5330136789
296	0.5330019427
297	0.5329863181
298	0.5329736401
299	0.5329553246
300	0.5329472661
301	0.5329315761
302	0.5329186304
303	0.5329090059
304	0.5328995269
305	0.5328886372
306	0.5328799327
307	0.5328751888
308	0.5328601608
309	0.5328509298
310	0.5328452143
311	0.5328382177
312	0.5328211808
313	0.5328146777
314	0.5328065725
315	0.5328020553
316	0.5327909387
317	0.5327806603
318	0.5327657304
319	0.5327554358
320	0.532748406
321	0.5327448844
322	0.5327286669
323	0.5327203509
324	0.5327114304
325	0.5326941846
326	0.5326834213
327	0.532675757
328	0.5326655239
329	0.5326604392
330	0.5326507591
331	0.5326425318
332	0.5326350157
333	0.53262541
334	0.5326172355
335	0.5326099709
336	0.5326016373
337	0.5325886388
338	0.5325824396
339	0.5325747477
340	0.5325666373
341	0.5325578367
342	0.532548967
343	0.5325418455
344	0.5325378411
345	0.5325249632
346	0.5325140348
347	0.5325043597
348	0.5324922913
349	0.5324843874
350	0.5324728886
351	0.5324651303
352	0.532455094
353	0.5324477986
354	0.532435823
355	0.5324227051
356	0.5324072159
357	0.532396716
358	0.5323865136
359	0.5323816998
360	0.5323723365
361	0.5323626632
362	0.5323558579
363	0.5323493372
364	0.5323340155
365	0.5323254187
366	0.5323159785
367	0.5323061742
368	0.5322999521
369	0.5322942943
370	0.5322875235
371	0.5322738267
372	0.5322664068
373	0.532254917
374	0.532246686
375	0.5322371197
376	0.5322313279
377	0.5322244429
378	0.5322111734
379	0.5322012515
380	0.5321900026
381	0.5321840599
382	0.5321751597
383	0.5321686047
384	0.5321577092
385	0.5321459818
386	0.5321321449
387	0.5321210724
388	0.5321068432
389	0.5321003759
390	0.5320894935
391	0.5320780691
392	0.5320684143
393	0.5320572993
394	0.5320496687
395	0.5320326135
396	0.5320221139
397	0.5320125821
398	0.5320071586
399	0.5319932937
