iter	Passed	Remaining
0	82	33051
1	100	19928
2	116	15389
3	131	13045
4	147	11655
5	163	10750
6	179	10089
7	196	9623
8	212	9221
9	228	8921
10	246	8707
11	262	8477
12	277	8258
13	292	8069
14	309	7932
15	325	7800
16	343	7736
17	363	7706
18	382	7669
19	398	7569
20	414	7479
21	429	7382
22	445	7302
23	461	7229
24	476	7150
25	493	7093
26	513	7092
27	529	7041
28	547	7006
29	565	6973
30	584	6954
31	599	6899
32	616	6855
33	632	6804
34	647	6751
35	664	6718
36	679	6670
37	699	6663
38	717	6637
39	734	6607
40	749	6566
41	765	6526
42	781	6484
43	797	6453
44	813	6415
45	829	6382
46	845	6348
47	861	6319
48	878	6293
49	894	6263
50	910	6232
51	926	6203
52	943	6175
53	960	6156
54	977	6128
55	994	6107
56	1009	6077
57	1026	6050
58	1042	6026
59	1059	6002
60	1074	5973
61	1091	5950
62	1114	5960
63	1135	5962
64	1154	5951
65	1175	5948
66	1194	5937
67	1210	5910
68	1228	5891
69	1245	5870
70	1261	5844
71	1280	5834
72	1310	5871
73	1330	5861
74	1346	5834
75	1362	5807
76	1379	5786
77	1396	5762
78	1412	5740
79	1429	5717
80	1446	5697
81	1464	5677
82	1481	5659
83	1498	5636
84	1517	5622
85	1535	5607
86	1551	5583
87	1567	5558
88	1584	5538
89	1601	5517
90	1618	5494
91	1634	5471
92	1650	5447
93	1667	5426
94	1684	5407
95	1701	5386
96	1718	5367
97	1735	5347
98	1751	5325
99	1768	5306
100	1785	5286
101	1801	5263
102	1817	5239
103	1833	5217
104	1849	5195
105	1864	5172
106	1881	5152
107	1897	5130
108	1912	5106
109	1928	5084
110	1945	5064
111	1961	5043
112	1977	5022
113	1994	5004
114	2010	4982
115	2026	4962
116	2042	4941
117	2059	4922
118	2075	4902
119	2091	4881
120	2107	4860
121	2124	4840
122	2140	4821
123	2156	4799
124	2171	4778
125	2187	4757
126	2203	4737
127	2220	4719
128	2236	4698
129	2254	4683
130	2273	4669
131	2294	4658
132	2310	4637
133	2325	4615
134	2342	4599
135	2359	4580
136	2375	4560
137	2391	4539
138	2407	4520
139	2423	4501
140	2440	4482
141	2456	4462
142	2472	4444
143	2490	4426
144	2506	4408
145	2522	4389
146	2538	4369
147	2554	4350
148	2573	4334
149	2591	4318
150	2608	4302
151	2625	4284
152	2643	4267
153	2659	4247
154	2677	4231
155	2693	4213
156	2710	4194
157	2727	4177
158	2743	4158
159	2759	4139
160	2776	4121
161	2792	4102
162	2808	4083
163	2825	4065
164	2841	4047
165	2857	4028
166	2873	4009
167	2890	3991
168	2906	3972
169	2923	3955
170	2940	3937
171	2956	3919
172	2972	3900
173	2989	3882
174	3005	3864
175	3021	3845
176	3037	3826
177	3054	3809
178	3071	3791
179	3088	3774
180	3105	3757
181	3122	3739
182	3138	3721
183	3152	3701
184	3168	3682
185	3185	3665
186	3201	3646
187	3218	3629
188	3236	3612
189	3251	3593
190	3267	3575
191	3283	3557
192	3299	3539
193	3314	3519
194	3330	3501
195	3346	3483
196	3361	3463
197	3378	3446
198	3393	3427
199	3410	3410
200	3426	3392
201	3443	3375
202	3461	3359
203	3478	3341
204	3494	3324
205	3510	3306
206	3527	3288
207	3543	3270
208	3559	3252
209	3575	3234
210	3590	3216
211	3606	3198
212	3621	3179
213	3638	3162
214	3654	3144
215	3670	3126
216	3686	3108
217	3703	3091
218	3720	3074
219	3741	3060
220	3787	3067
221	3804	3050
222	3820	3032
223	3836	3014
224	3852	2996
225	3861	2973
226	3878	2955
227	3894	2938
228	3913	2922
229	3929	2904
230	3945	2886
231	3961	2868
232	3978	2851
233	3995	2834
234	4011	2816
235	4030	2800
236	4047	2784
237	4068	2769
238	4086	2752
239	4104	2736
240	4123	2720
241	4141	2704
242	4157	2686
243	4173	2667
244	4189	2650
245	4205	2632
246	4222	2615
247	4240	2598
248	4256	2581
249	4272	2563
250	4289	2546
251	4306	2529
252	4322	2511
253	4339	2494
254	4355	2476
255	4371	2459
256	4388	2441
257	4404	2424
258	4420	2406
259	4437	2389
260	4453	2371
261	4469	2354
262	4487	2337
263	4502	2319
264	4518	2301
265	4536	2285
266	4552	2267
267	4570	2251
268	4588	2234
269	4603	2216
270	4620	2199
271	4636	2181
272	4652	2164
273	4667	2146
274	4684	2129
275	4700	2111
276	4716	2094
277	4732	2076
278	4748	2059
279	4766	2042
280	4782	2025
281	4799	2008
282	4817	1991
283	4833	1974
284	4851	1957
285	4866	1939
286	4882	1922
287	4899	1905
288	4916	1888
289	4931	1870
290	4947	1853
291	4964	1836
292	4980	1818
293	4998	1802
294	5015	1785
295	5035	1769
296	5058	1754
297	5079	1738
298	5099	1722
299	5122	1707
300	5141	1690
301	5161	1674
302	5182	1659
303	5201	1642
304	5221	1626
305	5237	1608
306	5253	1591
307	5268	1573
308	5284	1556
309	5301	1539
310	5317	1521
311	5333	1504
312	5349	1487
313	5365	1469
314	5381	1452
315	5398	1434
316	5414	1417
317	5431	1400
318	5448	1383
319	5464	1366
320	5480	1348
321	5494	1330
322	5511	1313
323	5528	1296
324	5546	1280
325	5565	1263
326	5583	1246
327	5599	1229
328	5615	1211
329	5631	1194
330	5647	1177
331	5664	1160
332	5680	1142
333	5698	1125
334	5718	1109
335	5735	1092
336	5751	1075
337	5768	1058
338	5784	1040
339	5800	1023
340	5825	1007
341	5844	991
342	5862	974
343	5880	957
344	5896	940
345	5915	923
346	5932	906
347	5950	889
348	5967	872
349	5984	854
350	6002	837
351	6018	820
352	6035	803
353	6052	786
354	6068	769
355	6084	752
356	6101	734
357	6117	717
358	6135	700
359	6153	683
360	6169	666
361	6185	649
362	6201	632
363	6217	614
364	6235	597
365	6252	580
366	6268	563
367	6284	546
368	6300	529
369	6315	512
370	6332	494
371	6349	477
372	6365	460
373	6382	443
374	6397	426
375	6413	409
376	6429	392
377	6445	375
378	6462	358
379	6478	340
380	6496	323
381	6511	306
382	6527	289
383	6542	272
384	6557	255
385	6576	238
386	6592	221
387	6608	204
388	6625	187
389	6640	170
390	6657	153
391	6673	136
392	6689	119
393	6707	102
394	6724	85
395	6740	68
396	6756	51
397	6772	34
398	6788	17
399	6804	0
